text,retweet_count,favorite_count,clean_tweet,Hash words,scores,compound,comp_score
@AyeshaMiracle Being a pure vegetarian I take it as a hate crime 😔 don't talk about non veg plssssss.,0,1,be pure vegetarian i take hate crime talk non veg plssssss.,No hashtags,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Dominic Raab says he’ll look at anything that strengthens security for women. Make misogyny a hate crime then maybe?…... #marr,2,8,domin raab say he'll look anyth strengthen secur women. make misogyni hate crime maybe?...... #marr,#marr,"{'neg': 0.335, 'neu': 0.558, 'pos': 0.107, 'compound': -0.7096}",-0.7096,neg
"@Whosanett ‘Teachers ask Hindutva students why they don’t hate Crime? 

Indian Journalist reveals how hate is taugh… https://t.co/1TFgs6mcJ3",9,10,'teacher ask hindutva student hate crime? indian journalist reveal hate taugh...,No hashtags,"{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.8979}",-0.8979,neg
@AzamJamil53 There is urgent need to built national consensus among all public influencers ... That hate crime must… https://t.co/K3FsP0Iatf,1,2,there urgent need built nation consensu among public influenc ... that hate crime must...,No hashtags,"{'neg': 0.36, 'neu': 0.55, 'pos': 0.09, 'compound': -0.7506}",-0.7506,neg
"@go_lurk Eiscue ingame I can see
Eiscue in PMEX feels like a hate crime",0,1,eiscu ingam i see eiscu pmex feel like hate crime,No hashtags,"{'neg': 0.459, 'neu': 0.382, 'pos': 0.159, 'compound': -0.6908}",-0.6908,neg
@eOrganiser Number of people in this making mountain of a molehill is v alarming ...my mind went back to 2002 Sabar… https://t.co/1KgsYZekPn,0,0,number peopl make mountain molehil v alarm ...mi mind went back 2002 sabar...,No hashtags,"{'neg': 0.175, 'neu': 0.73, 'pos': 0.095, 'compound': -0.2732}",-0.2732,neg
"@mashoom01 Ofc, SL is Friend with Pakistan, Visa Free Entry, India fears this 
We helped them tackling the internal… https://t.co/jgDyH9KANE",1,1,"ofc, sl friend pakistan, visa free entry, india fear we help tackl internal...",No hashtags,"{'neg': 0.15, 'neu': 0.421, 'pos': 0.43, 'compound': 0.7184}",0.7184,pos
"If this had happened in Delhi, Delhi Police would have told this is not a hate crime. https://t.co/psOiLLyQbK",0,1,"if happen delhi, delhi polic would told hate crime.",No hashtags,"{'neg': 0.507, 'neu': 0.493, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"2021年08月14日に実施された「#小田急フェミサイドに抗議します」（東京・新宿）の模様です。
People protesting Femicide (a hate crime targeting women) on the O… https://t.co/azmDUyzyA1",0,0,2021nian 08yue 14ri nishi shi sareta[#xiao tian ji huemisaidonikang yi shimasu] (dong jing xin su )nomo yang desu. peopl protest femicid (a hate crime target women) o...,No hashtags,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
"2021年08月14日に実施された「#小田急フェミサイドに抗議します」（東京・新宿）の模様です。
People protesting Femicide (a hate crime targeting women) on the O… https://t.co/uSdvkihdcN",0,0,2021nian 08yue 14ri nishi shi sareta[#xiao tian ji huemisaidonikang yi shimasu] (dong jing xin su )nomo yang desu. peopl protest femicid (a hate crime target women) o...,No hashtags,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
